query,target,Similarity
O=C(NCCc1nc(O)n[nH]1)c1ccnc(C2CC2)c1,COc1cccc(F)c1C(=O)NCCc1n[nH]c(=O)[nH]1,0.38387096774193546
CCNCCNC(=O)c1c(O)[nH]c2ccccc2c1=O,O=C(CNC(=O)c1ccc2n[nH]cc2c1)NCC(F)F,0.3793836344314559
COC(=O)c1ccccc1NC(=O)[C@H]1CCS(=O)(=O)C1,Cc1cc(OCC(=O)O)ccc1NC(=O)[C@@H]1COCCO1,0.3776824034334764
O=C(O)[C@@H]1Nc2cc(C(F)(F)F)ccc2S(=O)(=O)N1,O=C(O)CNS(=O)(=O)c1ccc2c(c1)COC2,0.3757455268389662
Cc1cccc([C@@]23NC(=O)[C@H]4[C@@H]2[C@H]2C[C@H]4[C@H](O)[C@H]2O3)c1,O=C(N[C@]1(CCO)CCOC1)c1nc[nH]c2nccc1-2,0.375625
C[S@@](=O)CCNC(=O)NCc1ccc2c(c1)OCO2,COc1ccc(CNC(=O)C(=O)NC(C)C)cc1,0.3747680890538033
O=C1COc2ccc(NC(=O)c3cccc[n+]3[O-])cc2N1,Cc1cc(OCC(=O)O)ccc1NC(=O)[C@@H]1COCCO1,0.37387836490528414
O=C(CNC(=O)c1ccc(Cl)cc1)O[C@@H]1CCOC1=O,COC(=O)C(C)(C)NC(=O)CNC(=O)c1ccc(F)cc1,0.37372262773722625
NC(=O)CNC(=O)c1ccc(OCC(=O)C2CC2)cc1,O=C(CNC(=O)c1ccc2n[nH]cc2c1)NCC(F)F,0.37245696400625977
CCNCCNC(=O)c1c(O)[nH]c2ccccc2c1=O,O=C(CNC(=O)c1ccc(=O)[nH]c1)NCc1ccco1,0.37185929648241206
Cc1cccc([C@@]23NC(=O)[C@H]4[C@@H]2[C@H]2C[C@H]4[C@H](O)[C@H]2O3)c1,CO[C@@H]1O[C@@H]2CO[C@H](c3ccccc3)O[C@H]2[C@H](N)[C@H]1N,0.3715627095908786
O=C(CNC(=O)c1ccc(=O)[nH]c1)NCc1ccco1,O=C(Nc1nnc[nH]1)c1c[nH]c(=O)c2ccccc12,0.3713968957871397
COC(=O)c1ccccc1NC(=O)[C@H]1CCS(=O)(=O)C1,Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)[C@@H]1CCO1,0.3711133400200602
C[C@@H](CNS(=O)(=O)C1CC1)NCc1cccc(CO)c1,CCCS(=O)(=O)NCC(=O)NCCc1ccccc1,0.3705179282868526
Cc1cccc([C@@]23NC(=O)[C@H]4[C@@H]2[C@H]2C[C@H]4[C@H](O)[C@H]2O3)c1,O=C(Cc1cccc(Cl)c1)N[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,0.3702185792349727
Cc1noc(COC(=O)CNC(=O)c2cccs2)n1,O=C(O)c1ccc(C(=O)NCCc2cnn[nH]2)s1,0.36895674300254455
NS(=O)(=O)c1cc(C(=O)O)cc2cccnc12,O=C(O)CNS(=O)(=O)c1ccc2c(c1)COC2,0.3678815489749431
O=C1NC[C@@H](COc2ccc3c(c2)CCNC3=O)O1,O=C(N[C@H]1CCS(=O)(=O)C1)c1cccc2c1COC2,0.3674089068825911
CCCNC(=O)C(=O)NCCc1ccc(OC)c(OC)c1,C[S@@](=O)CCNC(=O)NCc1ccc2c(c1)OCO2,0.36655405405405406
Cc1cccc([C@@]23NC(=O)[C@H]4[C@@H]2[C@H]2C[C@H]4[C@H](O)[C@H]2O3)c1,CCNCCNC(=O)c1c(O)[nH]c2ccccc2c1=O,0.36647546207775655
O=C1COc2cc(C(=O)NCCc3cn[nH]c3)ccc2N1,COc1cccc(F)c1C(=O)NCCc1n[nH]c(=O)[nH]1,0.3650637880274779
O=C1COc2cc(C(=O)NCCc3cn[nH]c3)ccc2N1,NC(=O)CNC(=O)c1ccc(OCC(=O)C2CC2)cc1,0.3646477132262052
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,CC(=O)C[C@H](c1ccccc1)c1c(O)[nH]c(=O)[nH]c1=O,0.3644859813084112
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@]12O,CC(=O)C[C@H](c1ccccc1)c1c(O)[nH]c(=O)[nH]c1=O,0.3644859813084112
O=C1[C@H]2OC[C@@H](O2)[C@@H]2ON=C(c3ccc4c(c3)OCO4)[C@H]12,O=C1NC(=S)NC(=O)C1=C1OC(=O)c2ccccc21,0.36203522504892366
O=C1[C@H]2OC[C@@H](O2)[C@@H]2ON=C(c3ccc4c(c3)OCO4)[C@H]12,CO[C@@H]1O[C@@H]2CO[C@H](c3ccccc3)O[C@H]2[C@H](N)[C@H]1N,0.36198462613556953
COC(=O)CNC(=O)c1coc2ccccc2c1=O,CNC(=O)C(=O)Nc1c(C(N)=O)oc2ccccc12,0.3601731601731602
O=C(O)CCNC(=O)c1ccc2c(c1)OCCO2,COc1ccc(CNC(=O)C(=O)NC(C)C)cc1,0.3592400690846287
O=C(CNC(=O)c1ccc(Cl)cc1)O[C@@H]1CCOC1=O,NC(=O)CNC(=O)c1ccc(OCC(=O)C2CC2)cc1,0.3592085235920852
Cc1cccc([C@@]23NC(=O)[C@H]4[C@@H]2[C@H]2C[C@H]4[C@H](O)[C@H]2O3)c1,O=C1NC(=S)NC(=O)C1=C1OC(=O)c2ccccc21,0.35905413814561293
CCOC(=O)c1cc(C(=O)OCC)c(=O)[nH]c1NN,CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@]12O,0.3577280174767886
CCOC(=O)c1cc(C(=O)OCC)c(=O)[nH]c1NN,CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,0.3577280174767886
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,O=C1COc2ccc(NC(=O)c3cccc[n+]3[O-])cc2N1,0.35706462212486306
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@]12O,O=C1COc2ccc(NC(=O)c3cccc[n+]3[O-])cc2N1,0.35706462212486306
O=C(O)CCC(=O)NCc1ccc(C(=O)O)cc1,C[C@@]1(C(=O)NCc2ccc(CO)c(F)c2)CCCNC1=O,0.3564516129032258
O=C(O)[C@@H]1Nc2cc(C(F)(F)F)ccc2S(=O)(=O)N1,CN(CC(=O)O)S(=O)(=O)c1ccc2c(c1)OCO2,0.35489833641404805
O=C1COc2ccc(NC(=O)c3cccc[n+]3[O-])cc2N1,COc1cccc(N(Cc2n[nH]c(=O)[nH]2)C(C)=O)c1,0.35333978702807356
O=C(O)CCC(=O)NCc1ccc(C(=O)O)cc1,CNC(=O)c1ccc(CN[C@@H]2CCCS(=O)(=O)C2)cc1,0.35315985130111527
O=C1NC[C@@H](COc2ccc3c(c2)CCNC3=O)O1,COc1cccc(F)c1C(=O)NCCc1n[nH]c(=O)[nH]1,0.35253227408143
Cc1cccc([C@@]23NC(=O)[C@H]4[C@@H]2[C@H]2C[C@H]4[C@H](O)[C@H]2O3)c1,NC(=O)c1nc(-c2ccccc2)oc1S(N)(=O)=O,0.35246913580246914
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,O=C(O)c1cnc[nH]c1=NCC1(O)Cc2ccccc2C1,0.3518830803822372
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@]12O,O=C(O)c1cnc[nH]c1=NCC1(O)Cc2ccccc2C1,0.3518830803822372
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,CO[C@@H]1O[C@@H]2CO[C@H](c3ccccc3)O[C@H]2[C@H](N)[C@H]1N,0.35186214563646473
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@]12O,CO[C@@H]1O[C@@H]2CO[C@H](c3ccccc3)O[C@H]2[C@H](N)[C@H]1N,0.35186214563646473
O=C(CNC(=O)c1ccc2n[nH]cc2c1)NCC(F)F,O=C(CNC(=O)c1ccc(=O)[nH]c1)NCc1ccco1,0.3509485094850949
Cc1cccc([C@@]23NC(=O)[C@H]4[C@@H]2[C@H]2C[C@H]4[C@H](O)[C@H]2O3)c1,O=C(O)[C@@H]1Nc2cc(C(F)(F)F)ccc2S(=O)(=O)N1,0.35086633663366334
Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)[C@@H]1CCO1,COC(=O)CC(=O)Nc1ccccc1C(=O)N(C)C,0.3498896247240618
CC(=O)C[C@H](c1ccccc1)c1c(O)[nH]c(=O)[nH]c1=O,O=C1[C@H]2OC[C@@H](O2)[C@@H]2ON=C(c3ccc4c(c3)OCO4)[C@H]12,0.349763673193788
